iter	Passed	Remaining
0	2	2359
1	4	2407
2	7	2377
3	9	2294
4	11	2264
5	13	2285
6	16	2297
7	18	2308
8	21	2349
9	23	2370
10	26	2357
11	28	2362
12	30	2329
13	32	2322
14	35	2302
15	37	2293
16	39	2286
17	41	2279
18	45	2341
19	47	2344
20	49	2330
21	52	2333
22	54	2321
23	57	2327
24	59	2329
25	61	2316
26	63	2304
27	66	2293
28	68	2292
29	70	2282
30	72	2271
31	74	2263
32	76	2255
33	79	2252
34	81	2251
35	83	2241
36	86	2244
37	88	2236
38	90	2240
39	93	2236
40	95	2227
41	97	2217
42	99	2213
43	101	2206
44	103	2199
45	105	2196
46	108	2190
47	110	2185
48	112	2177
49	114	2171
50	116	2162
51	118	2155
52	120	2152
53	123	2156
54	125	2154
55	127	2154
56	129	2148
57	132	2144
58	134	2139
59	136	2132
60	138	2130
61	141	2135
62	143	2134
63	145	2130
64	147	2126
65	149	2122
66	152	2123
67	154	2120
68	156	2117
69	159	2114
70	161	2111
71	163	2109
72	165	2106
73	168	2107
74	170	2102
75	172	2099
76	174	2097
77	177	2094
78	179	2090
79	181	2088
80	184	2087
81	186	2083
82	188	2083
83	190	2081
84	193	2078
85	195	2072
86	197	2069
87	199	2064
88	201	2062
89	204	2063
90	206	2061
91	208	2060
92	211	2058
93	213	2058
94	215	2056
95	218	2053
96	220	2050
97	222	2049
98	224	2045
99	226	2041
100	228	2038
101	231	2034
102	233	2034
103	235	2031
104	238	2031
105	240	2030
106	242	2026
107	245	2023
108	247	2020
109	249	2019
110	251	2014
111	253	2012
112	256	2010
113	258	2009
114	260	2005
115	262	2002
116	264	1999
117	267	1996
118	269	1993
119	271	1989
120	273	1987
121	275	1984
122	278	1983
123	280	1980
124	282	1976
125	284	1974
126	286	1972
127	289	1970
128	291	1966
129	293	1966
130	295	1961
131	298	1959
132	299	1955
133	301	1951
134	303	1947
135	306	1946
136	308	1944
137	311	1942
138	312	1937
139	314	1932
140	316	1930
141	319	1929
142	321	1926
143	323	1925
144	325	1920
145	327	1917
146	329	1913
147	331	1911
148	333	1906
149	335	1902
150	338	1901
151	340	1899
152	342	1895
153	344	1891
154	346	1889
155	348	1885
156	350	1882
157	352	1878
158	354	1875
159	356	1871
160	358	1868
161	360	1866
162	362	1862
163	364	1858
164	366	1854
165	368	1853
166	370	1850
167	372	1847
168	375	1844
169	377	1841
170	379	1839
171	381	1835
172	383	1834
173	385	1831
174	388	1829
175	390	1826
176	392	1822
177	393	1819
178	396	1817
179	398	1814
180	400	1810
181	402	1807
182	404	1805
183	406	1801
184	408	1798
185	409	1794
186	412	1793
187	414	1790
188	416	1788
189	419	1786
190	421	1783
191	423	1780
192	425	1778
193	427	1775
194	429	1774
195	431	1770
